customer_id,first_name,last_name,email,phone_number,address,city,country,postal_code,loyalty_points
1,Regine,Hemerijk,rhemerijk0@ocn.ne.jp,883-937-5927,7803 Bashford Avenue,Sumbergedong,Indonesia,,585
2,Bertina,Orehead,borehead1@weibo.com,319-585-5631,210 Grayhawk Center,Trairi,Brazil,62690-000,491
3,Zebedee,Haggett,zhaggett2@vk.com,426-304-7277,62735 Burning Wood Alley,Yangsa,South Korea,,553
4,Mallissa,Dawidowicz,mdawidowicz3@ca.gov,731-287-1769,05938 Kedzie Trail,Santa Marta,Colombia,470017,0
5,Darsie,Arnatt,darnatt4@privacy.gov.au,210-795-4700,108 Merchant Drive,Zhuozishan,China,,941
6,Arturo,Shillingford,ashillingford5@uiuc.edu,799-342-8293,0 Tennyson Plaza,Paicol,Colombia,415047,174
7,Velvet,Cleynaert,vcleynaert6@angelfire.com,366-566-8909,062 Bultman Hill,Magangué,Colombia,132527,98
8,Bruce,Mooney,bmooney7@ted.com,366-343-4967,8 Randy Center,Nkoteng,Cameroon,,454
9,Sebastien,Trelevan,strelevan8@techcrunch.com,393-831-2284,05443 Ludington Drive,Muzidian,China,,33
10,Annadiane,Tallis,atallis9@utexas.edu,240-601-1061,3692 Vidon Place,Houmt Souk,Tunisia,,17
11,Marga,Artis,martisa@earthlink.net,469-565-1252,19 Meadow Valley Way,Oslo,Norway,1257,396
12,Antone,Roggerone,aroggeroneb@whitehouse.gov,792-777-6668,3 Commercial Trail,Jinfeng,China,,114
13,Edmund,Halshaw,ehalshawc@ted.com,792-470-3578,39 Granby Avenue,Homa Bay,Kenya,,963
14,Hiram,Walch,hwalchd@samsung.com,420-526-0020,2658 Arapahoe Point,Chemal,Russia,649240,998
15,Delmore,McIlmurray,dmcilmurraye@smugmug.com,681-681-4317,3788 Crescent Oaks Drive,Jiangchi,China,,295
16,Lauren,Hawson,lhawsonf@about.me,178-803-5968,0632 Eggendart Place,Wulong,China,,22
17,Erastus,Fritche,efritcheg@angelfire.com,502-196-9495,42388 Logan Drive,San Quintin,Philippines,2808,269
18,Kenna,Constable,kconstableh@vk.com,653-648-9890,3 Sunnyside Point,Mahalapye,Botswana,,378
19,Gipsy,Otton,gottoni@geocities.jp,299-185-1799,1628 Bultman Junction,Morteros,Argentina,2421,139
20,Karlene,Lamperd,klamperdj@purevolume.com,136-758-3012,8 Hallows Terrace,Sinargalih,Indonesia,,656
21,Phillip,Berryman,pberrymank@alexa.com,235-628-7860,7341 Utah Hill,Pingkai,China,,434
22,Tammie,Font,tfontl@auda.org.au,181-833-9801,0 Becker Street,Douliu,Taiwan,,502
23,Roscoe,Dmitrievski,rdmitrievskim@cornell.edu,636-652-7003,01 Anderson Road,Valença,Brazil,27600-000,869
24,Colette,Cantillon,ccantillonn@ft.com,372-113-7930,3 Arizona Terrace,Huallanca,Peru,,858
25,Joan,Adamkiewicz,jadamkiewiczo@elpais.com,620-816-0839,969 Golf Way,Ambatolampy,Madagascar,,213
26,Chet,Oherlihy,coherlihyp@opera.com,151-810-5727,04 Jenna Crossing,Tula,Russia,300999,638
27,Ernest,Mothersole,emothersoleq@vinaora.com,255-354-6767,65974 Derek Park,Fairview,Ireland,D17,25
28,Reggy,Ghirardi,rghirardir@howstuffworks.com,916-109-8134,9438 Mosinee Place,Wangzuizi,China,,597
29,Carmon,Orts,cortss@statcounter.com,721-667-1840,3 Grasskamp Court,Changchi,China,,660
30,Elwyn,Godball,egodballt@twitpic.com,223-559-8324,56494 Milwaukee Drive,Yong’an,China,,791
31,Sergeant,Bruyet,sbruyetu@hubpages.com,424-175-1777,9670 Maryland Park,Jetaral,China,,987
32,Christie,Grenville,cgrenvillev@squarespace.com,914-722-2161,555 Roxbury Lane,Sertolovo,Russia,197758,825
33,Lily,Slimings,lslimingsw@themeforest.net,735-476-5072,6 Sullivan Terrace,‘Ūrīf,Palestinian Territory,,486
34,Josey,Gotter,jgotterx@usgs.gov,294-251-8037,87 Acker Junction,Pasir Mas,Malaysia,17020,133
