order_id,customer_id,product_id,quantity,unit_price,total_price,order_date,shipping_address,payment_method,status
1,659,544,62,310.6,8226.98,2021-05-13,167 Bobwhite Alley,Apple Pay,pending
2,841,15,68,147.08,8317.78,2021-08-20,10 Toban Circle,credit card,processing
3,356,581,40,951.24,9522.71,2020-07-06,446 Golf Course Crossing,credit card,shipped
4,578,850,63,531.13,8589.73,2021-08-07,5 Lotheville Way,PayPal,processing
5,17,577,54,122.33,1967.32,2020-05-13,23 Autumn Leaf Crossing,Apple Pay,shipped
6,216,208,51,387.79,2572.87,2021-07-29,035 Bowman Terrace,credit card,processing
7,789,431,7,907.16,2297.49,2021-12-26,12974 Rowland Hill,credit card,processing
8,785,306,48,160.98,1642.53,2020-02-23,22141 Sachtjen Alley,Apple Pay,delivered
9,708,699,47,980.76,7876.88,2021-09-03,7 Del Sol Trail,credit card,pending
10,663,147,70,905.17,3296.72,2021-09-28,83 Sullivan Lane,Apple Pay,shipped
11,991,706,54,573.26,2878.77,2022-09-05,28 Crowley Road,credit card,shipped
12,719,864,10,707.31,8443.22,2021-04-17,8866 South Parkway,credit card,pending
13,635,541,92,518.12,402.92,2022-12-03,2 6th Plaza,Apple Pay,shipped
14,579,371,11,516.51,7787.48,2022-05-07,87 Rowland Crossing,Apple Pay,delivered
15,679,618,23,101.51,748.81,2021-07-26,5 Debra Circle,credit card,processing
16,223,43,21,215.88,9231.52,2021-12-28,96808 5th Court,Apple Pay,delivered
17,435,900,85,476.34,9406.22,2020-02-29,97 Meadow Vale Road,Apple Pay,pending
18,535,561,2,152.99,8280.65,2020-12-31,28886 Cambridge Drive,credit card,processing
19,667,994,13,52.05,1442.48,2021-08-31,6134 Eliot Avenue,Apple Pay,pending
20,45,57,92,613.75,6656.16,2022-02-16,68036 Pleasure Court,Apple Pay,delivered
21,878,183,6,604.0,8812.96,2020-02-29,97 Meadow Valley Crossing,Apple Pay,processing
22,531,70,6,588.7,9561.22,2022-12-18,76 Tomscot Terrace,Apple Pay,pending
23,473,566,41,99.74,6185.07,2020-06-12,5 5th Crossing,PayPal,pending
24,120,222,43,140.01,6098.6,2021-04-05,60 Hudson Junction,PayPal,shipped
25,110,134,47,269.82,4277.42,2020-11-08,45 Pleasure Drive,credit card,processing
26,194,922,36,172.36,9966.69,2021-01-08,3451 Westerfield Place,Apple Pay,delivered
27,989,425,51,118.56,437.13,2021-07-04,64674 Namekagon Avenue,credit card,shipped
28,544,573,59,357.95,9019.55,2022-11-09,5054 Knutson Junction,PayPal,delivered
29,569,450,36,927.98,1248.55,2022-11-20,2 Division Drive,Apple Pay,shipped
30,872,181,68,34.37,2894.71,2022-09-21,1332 Meadow Valley Terrace,credit card,pending
31,79,212,68,182.32,5933.32,2020-04-18,0646 American Plaza,credit card,delivered
32,687,127,61,98.45,9567.62,2022-12-15,0711 Knutson Alley,Apple Pay,processing
33,859,449,73,852.77,726.15,2021-10-04,6699 Sage Trail,Apple Pay,pending
34,475,9,7,73.34,850.78,2022-06-21,7 Anthes Junction,PayPal,delivered
35,297,461,40,71.2,2198.18,2021-10-05,14706 Mesta Court,Apple Pay,delivered
36,93,89,30,885.66,36.56,2022-09-03,924 Old Shore Alley,Apple Pay,delivered
37,772,822,8,464.07,6805.5,2020-05-07,38 Farwell Road,credit card,delivered
38,10,658,72,212.96,8642.66,2020-07-27,33293 Summer Ridge Hill,Apple Pay,pending
39,797,773,22,117.3,6699.04,2020-05-11,97976 Bluejay Park,PayPal,pending
40,744,873,4,762.18,2982.18,2021-07-01,8797 Mallard Road,PayPal,pending
41,430,809,46,420.65,3664.04,2022-01-21,67 Talmadge Court,Apple Pay,delivered
42,661,264,72,797.53,7637.08,2021-01-03,962 Garrison Crossing,credit card,pending
43,753,681,39,508.26,8973.17,2020-04-26,48376 Harper Crossing,PayPal,shipped
44,572,73,5,98.75,3025.42,2020-09-14,539 3rd Road,Apple Pay,processing
45,289,266,19,68.39,4949.27,2020-07-26,11760 Hanson Drive,credit card,pending
46,215,914,52,657.82,844.95,2022-09-19,7632 Maryland Drive,Apple Pay,pending
47,177,487,89,309.01,4465.54,2022-01-21,212 Ilene Crossing,PayPal,shipped
48,723,232,62,841.36,5758.4,2021-02-05,62804 Thackeray Park,credit card,shipped
49,100,263,74,296.29,6008.99,2020-10-18,421 Spenser Pass,credit card,shipped
50,897,595,67,848.76,4728.7,2020-12-24,71 Monterey Plaza,PayPal,shipped
51,633,328,75,346.61,7174.82,2022-10-15,947 Lindbergh Court,credit card,delivered
52,491,377,90,598.92,6939.31,2021-06-08,5 Namekagon Plaza,Apple Pay,shipped
53,624,883,9,886.2,7318.39,2022-08-02,32 Fordem Center,Apple Pay,pending
54,261,597,66,14.16,1239.3,2021-06-07,01489 Spaight Drive,PayPal,pending
55,270,984,63,909.43,8289.8,2021-01-21,091 Granby Crossing,Apple Pay,shipped
56,589,512,85,898.39,9266.97,2022-03-17,82 Browning Drive,Apple Pay,shipped
57,138,334,96,415.55,1030.61,2021-01-29,2678 Melody Alley,PayPal,pending
58,538,880,79,619.91,3947.54,2022-02-09,29 Fulton Point,credit card,processing
59,880,91,36,370.27,4246.9,2022-01-09,4852 Rutledge Plaza,PayPal,processing
60,929,777,1,245.94,5311.95,2021-08-04,1 Burning Wood Plaza,credit card,pending
61,226,72,66,805.62,3318.65,2020-11-15,94 Dapin Road,PayPal,processing
62,323,996,65,462.81,1468.29,2020-01-14,2 American Hill,credit card,processing
63,511,224,80,766.5,9612.36,2020-08-30,8 Sunbrook Hill,PayPal,shipped
64,851,843,20,664.85,5735.08,2021-04-29,4 Bartelt Place,Apple Pay,processing
65,873,109,31,353.51,9759.4,2022-09-11,14233 Lindbergh Point,Apple Pay,delivered
66,641,933,25,173.72,2045.78,2020-09-05,20 Stone Corner Center,PayPal,processing
67,193,934,88,71.72,4113.04,2020-06-06,19554 6th Road,Apple Pay,delivered
68,627,95,2,613.2,126.72,2022-06-04,9141 Morning Street,credit card,delivered
69,468,516,64,315.38,8220.77,2022-07-08,34768 Prairie Rose Crossing,Apple Pay,shipped
70,809,468,62,156.65,8247.37,2022-02-15,7 Upham Park,PayPal,pending
71,41,620,84,638.64,6899.4,2020-12-23,1 Roth Hill,PayPal,pending
72,158,160,68,821.14,8769.0,2021-07-04,114 Debra Crossing,Apple Pay,pending
73,192,535,29,448.13,3026.94,2021-06-11,13643 Cascade Junction,PayPal,delivered
74,314,406,44,19.08,9680.4,2020-06-02,84 Sugar Avenue,credit card,delivered
75,575,754,58,172.36,7613.28,2020-07-03,3 Holmberg Way,PayPal,shipped
76,1000,800,44,790.22,2157.97,2021-05-31,466 Becker Plaza,PayPal,shipped
77,332,60,9,396.4,9179.73,2022-04-07,05015 Eggendart Lane,PayPal,processing
78,688,972,83,232.19,8909.27,2022-08-30,546 Surrey Lane,PayPal,delivered
79,554,790,71,362.23,7606.32,2020-03-12,7155 Emmet Crossing,credit card,pending
80,151,454,24,643.74,1635.55,2020-12-22,06986 Weeping Birch Crossing,PayPal,delivered
81,738,941,53,235.57,5948.74,2022-07-26,1631 Surrey Center,Apple Pay,pending
82,612,292,65,233.82,2788.02,2022-08-23,967 Harbort Road,Apple Pay,processing
83,801,324,89,369.34,6087.76,2021-04-20,6652 Mitchell Drive,PayPal,pending
84,717,387,79,323.96,2766.07,2020-05-18,0 Hazelcrest Drive,PayPal,delivered
85,105,74,31,792.2,664.77,2021-08-12,19 Glacier Hill Circle,credit card,delivered
86,795,720,44,918.19,9206.0,2021-08-17,142 Village Green Parkway,PayPal,pending
87,181,365,51,239.32,7339.53,2021-08-13,8 Manitowish Road,PayPal,processing
88,267,284,67,107.48,1689.8,2022-12-29,7 Darwin Road,PayPal,delivered
89,24,391,65,433.77,8843.92,2020-02-28,0 Independence Street,credit card,delivered
90,847,896,16,882.25,762.83,2021-02-15,3970 Manitowish Point,Apple Pay,processing
91,346,756,52,124.38,7798.86,2022-07-04,0 Sachtjen Way,credit card,delivered
92,970,667,20,422.77,609.61,2021-03-08,5 Declaration Park,Apple Pay,pending
93,442,471,51,430.73,6763.18,2020-04-23,58523 Dorton Alley,Apple Pay,pending
94,365,346,14,661.05,2509.64,2020-09-27,1 Bayside Place,PayPal,shipped
95,167,354,19,450.9,9819.73,2020-09-27,3878 Paget Crossing,PayPal,delivered
96,726,826,67,680.75,9720.0,2021-09-10,5023 Caliangt Drive,Apple Pay,delivered
97,38,857,53,555.08,7139.2,2020-09-25,6 Dryden Street,Apple Pay,pending
98,217,265,72,690.58,3255.79,2020-01-12,049 Lawn Way,PayPal,delivered
99,548,677,36,496.03,1018.98,2020-04-10,4 Grasskamp Hill,credit card,pending
100,920,863,17,294.93,63.74,2021-10-27,70045 Norway Maple Street,Apple Pay,pending
101,209,453,18,8.76,3630.86,2022-02-14,384 Armistice Road,credit card,shipped
102,591,838,77,761.0,294.74,2020-10-27,21 Northfield Parkway,credit card,processing
103,385,966,37,651.34,5692.34,2021-08-17,931 Miller Court,Apple Pay,processing
104,798,254,31,341.31,3935.71,2021-01-21,1 Dahle Parkway,PayPal,pending
105,831,623,35,658.3,5903.35,2020-12-28,22 Vermont Terrace,PayPal,shipped
106,760,52,10,210.0,373.15,2020-12-22,86676 Dovetail Hill,Apple Pay,shipped
107,888,709,60,201.27,3834.68,2020-07-15,556 Vermont Alley,Apple Pay,pending
108,828,762,71,625.96,8995.76,2022-12-27,33 Commercial Park,Apple Pay,shipped
109,593,273,54,474.3,4745.36,2021-06-28,9 Oak Valley Court,Apple Pay,delivered
110,125,859,55,430.01,9889.22,2022-09-21,5246 Ridgeway Circle,PayPal,pending
111,848,848,49,170.3,9710.33,2021-02-14,1 Vera Terrace,Apple Pay,processing
112,103,494,69,48.96,6308.17,2022-11-10,7 Bay Parkway,PayPal,shipped
113,219,871,81,705.16,8862.47,2022-07-06,34 Blue Bill Park Circle,PayPal,pending
114,803,268,100,923.39,4559.18,2020-01-29,35 Fair Oaks Crossing,credit card,pending
115,793,291,37,271.78,72.93,2020-03-04,64572 Miller Crossing,PayPal,processing
116,355,463,54,679.58,7626.67,2020-06-25,89 Forest Dale Lane,PayPal,processing
117,670,434,68,874.3,3919.22,2020-12-12,34 Badeau Terrace,PayPal,processing
118,799,55,92,356.88,7604.95,2020-03-24,884 Pond Crossing,Apple Pay,shipped
119,765,844,41,451.45,7126.62,2020-09-18,30 Kings Circle,PayPal,shipped
120,782,290,31,424.37,4716.77,2020-09-09,491 Rieder Road,Apple Pay,processing
121,234,249,98,650.65,4672.96,2022-06-03,76689 Merrick Parkway,Apple Pay,processing
122,388,168,66,192.19,4947.93,2020-04-30,992 Miller Crossing,credit card,delivered
123,188,132,60,570.08,7741.86,2020-07-04,5350 Dottie Avenue,Apple Pay,processing
124,775,154,28,818.6,7399.31,2022-04-13,05433 Kedzie Lane,credit card,shipped
125,493,219,43,978.01,9273.81,2022-03-29,4363 Manufacturers Plaza,PayPal,processing
126,291,951,95,947.37,3255.39,2022-06-17,10 Rieder Drive,PayPal,shipped
127,327,980,99,274.89,97.0,2022-11-24,27 Dottie Plaza,Apple Pay,processing
128,443,596,42,920.79,3719.89,2020-08-21,52590 Meadow Valley Trail,Apple Pay,pending
129,879,331,54,446.86,6440.88,2021-05-08,17 Garrison Way,PayPal,processing
130,98,415,52,394.07,4216.33,2020-06-11,8506 Swallow Terrace,PayPal,processing
131,250,104,73,788.81,4156.73,2022-06-19,152 Onsgard Avenue,credit card,delivered
132,162,898,98,788.06,9765.64,2020-12-05,81567 Coolidge Circle,credit card,pending
133,563,347,61,302.3,6520.32,2022-03-04,653 Main Hill,PayPal,shipped
134,384,525,36,115.12,1967.72,2022-10-31,98 Gateway Road,PayPal,delivered
135,478,529,33,631.32,8025.13,2021-07-09,6 Grover Crossing,PayPal,delivered
136,361,117,49,938.93,8835.37,2022-09-12,98484 Killdeer Pass,PayPal,delivered
137,89,303,12,955.29,2084.97,2022-10-29,625 Loomis Pass,PayPal,pending
138,484,248,37,88.51,2085.25,2021-08-24,1453 Fulton Alley,PayPal,pending
139,341,76,87,169.22,8286.45,2020-04-03,7 Springview Pass,credit card,delivered
140,407,548,32,939.83,797.94,2022-12-13,11310 Mallory Place,Apple Pay,processing
141,628,837,78,397.72,2026.16,2021-04-08,73 Badeau Center,credit card,pending
142,20,601,52,90.5,3742.66,2022-03-08,9842 Loomis Crossing,PayPal,processing
143,288,498,68,791.05,9026.69,2022-01-10,1943 Brickson Park Park,credit card,shipped
144,773,746,97,709.52,3917.17,2022-07-28,7 Florence Circle,Apple Pay,pending
145,452,615,14,727.51,7155.32,2021-06-14,0364 Village Avenue,PayPal,delivered
146,121,489,33,341.66,8548.53,2021-03-13,3103 Toban Circle,PayPal,delivered
147,490,583,15,275.75,2993.76,2020-06-04,20 Troy Circle,credit card,shipped
148,380,690,22,33.3,4957.81,2021-06-02,54 Melvin Crossing,credit card,delivered
149,964,644,29,298.33,1734.01,2022-12-26,5 Cody Hill,Apple Pay,shipped
150,185,271,49,915.34,3629.67,2021-12-23,82860 Lighthouse Bay Point,Apple Pay,delivered
151,225,444,16,382.57,9649.0,2021-09-10,2 Bunting Terrace,credit card,pending
152,656,643,50,491.59,3433.37,2020-08-19,3803 Lien Junction,PayPal,shipped
153,750,67,18,485.16,5311.8,2020-03-27,51 Merchant Trail,PayPal,shipped
154,842,546,8,149.63,5146.97,2021-06-01,44 Talmadge Junction,PayPal,processing
155,648,343,1,289.51,2038.22,2022-07-21,5046 Warner Junction,PayPal,shipped
156,739,180,78,792.7,3724.52,2020-11-30,5 Katie Street,PayPal,pending
157,306,357,11,251.22,9362.4,2022-06-18,9965 Express Center,Apple Pay,pending
158,304,436,7,231.95,2984.51,2021-04-20,30672 8th Drive,credit card,pending
159,697,359,57,342.83,5908.79,2020-07-11,47875 Katie Way,PayPal,pending
160,213,482,68,314.98,6681.6,2020-03-26,6727 Harper Way,credit card,shipped
161,900,12,78,198.5,9372.08,2022-06-26,37668 John Wall Junction,PayPal,processing
162,348,675,89,720.08,8342.78,2022-11-30,38 Basil Junction,credit card,pending
163,150,20,44,48.49,4570.54,2020-09-25,8053 West Street,Apple Pay,processing
164,351,373,5,182.35,732.98,2020-08-05,5 Tennessee Pass,PayPal,delivered
165,324,726,96,113.52,2352.5,2022-05-05,4 Comanche Circle,credit card,processing
166,807,280,16,736.51,8808.83,2021-11-30,5 Laurel Terrace,Apple Pay,delivered
167,761,594,2,4.67,6432.72,2022-12-10,01077 Katie Street,Apple Pay,shipped
168,666,285,66,838.48,135.51,2020-12-16,250 Hovde Park,PayPal,pending
169,950,887,14,321.64,2235.09,2020-02-02,47 Muir Lane,PayPal,shipped
170,509,351,16,400.75,2411.63,2020-10-12,34 Ridgeview Junction,PayPal,pending
171,340,397,12,303.67,1370.17,2020-10-30,70257 Rieder Park,credit card,processing
172,816,363,32,337.11,2214.89,2021-05-25,76 Shopko Court,credit card,shipped
173,582,40,86,216.05,328.05,2021-03-22,24114 Sage Trail,PayPal,delivered
174,58,484,46,6.35,8578.83,2020-08-25,32802 Northview Parkway,credit card,delivered
175,746,868,32,358.54,9780.57,2020-01-17,3634 Pennsylvania Crossing,Apple Pay,processing
176,175,133,92,744.43,6770.25,2020-01-17,146 Browning Park,Apple Pay,shipped
177,300,25,98,930.83,3618.81,2020-02-17,04163 Sheridan Crossing,Apple Pay,pending
178,613,75,79,710.84,7712.03,2020-06-26,48 Bunker Hill Place,Apple Pay,delivered
